STIMP 3.0?m – Uphill (15?cm past),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slope elevation (centimeters),,,,,,,,,,,,,,,,,,,,,,,,,,,
Putt Length (m),0,3,5,8,10,13,15,18,20,23,25,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,8,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
1.5,11,11,13,13,16,,,,,,,,,,,,,,,,,,,,,,,
1.8,11,13,13,13,16,16,,,,,,,,,,,,,,,,,,,,,,
2.1,13,13,13,16,16,16,19,,,,,,,,,,,,,,,,,,,,,
2.4,13,13,16,16,16,19,19,19,,,,,,,,,,,,,,,,,,,,
2.7,13,16,16,16,19,19,19,19,22,,,,,,,,,,,,,,,,,,,
3,16,16,16,16,19,19,19,19,22,22,,,,,,,,,,,,,,,,,,
3.3,16,16,19,19,19,19,22,22,22,22,,,,,,,,,,,,,,,,,,
3.6,16,16,19,19,19,22,22,22,22,22,25,,,,,,,,,,,,,,,,,
3.9,16,19,19,19,19,22,22,22,22,25,25,25,,,,,,,,,,,,,,,,
4.2,19,19,19,19,22,22,22,22,25,25,25,25,25,28,28,28,28,28,28,28,31,31,31,31,31,31,31,31
4.5,19,19,19,22,22,22,22,25,25,25,25,25,28,28,28,28,28,28,28,31,31,31,31,31,31,31,31,34
4.8,19,19,22,22,22,22,25,25,25,25,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,31,34,34
5.1,19,22,22,22,22,22,25,25,25,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,31,34,34,34
5.4,22,22,22,22,22,25,25,25,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,31,34,34,34,34
5.7,22,22,22,22,25,25,25,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,31,34,34,34,34,34
6,22,22,22,25,25,25,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,31,34,34,34,34,34,34
6.3,22,22,25,25,25,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,31,34,34,34,34,34,34,37
6.6,22,25,25,25,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,31,34,34,34,34,34,34,37,37
6.9,25,25,25,25,25,25,28,28,28,28,28,31,31,31,31,31,31,31,31,34,34,34,34,34,34,37,37,37
7.2,25,25,25,25,25,28,28,28,28,28,31,31,31,31,31,31,31,31,34,34,34,34,34,34,37,37,37,37
7.5,25,25,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,34,34,34,34,34,34,37,37,37,37,37
7.8,25,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,34,34,34,34,34,34,37,37,37,37,37,37
8.1,25,25,28,28,28,28,28,28,31,31,31,31,31,31,31,34,34,34,34,34,34,37,37,37,37,37,37,40
8.4,25,28,28,28,28,28,28,31,31,31,31,31,31,31,34,34,34,34,34,34,37,37,37,37,37,37,40,40
8.7,28,28,28,28,28,28,31,31,31,31,31,31,31,34,34,34,34,34,34,37,37,37,37,37,37,40,40,40
9,28,28,28,28,28,31,31,31,31,31,31,31,34,34,34,34,34,34,37,37,37,37,37,37,40,40,40,40
9.3,28,28,28,28,31,31,31,31,31,31,31,34,34,34,34,34,34,37,37,37,37,37,37,40,40,40,40,40
9.6,28,28,28,31,31,31,31,31,31,31,34,34,34,34,34,34,37,37,37,37,37,37,40,40,40,40,40,40
9.9,28,28,31,31,31,31,31,31,31,34,34,34,34,34,34,37,37,37,37,37,37,40,40,40,40,40,40,43
10.2,28,31,31,31,31,31,31,31,34,34,34,34,34,34,37,37,37,37,37,37,40,40,40,40,40,40,43,43
10.5,31,31,31,31,31,31,31,34,34,34,34,34,34,37,37,37,37,37,37,40,40,40,40,40,40,43,43,43
10.8,31,31,31,31,31,31,34,34,34,34,34,34,37,37,37,37,37,37,40,40,40,40,40,40,43,43,43,43
11.1,31,31,31,31,31,34,34,34,34,34,34,37,37,37,37,37,37,40,40,40,40,40,40,43,43,43,43,43
11.4,31,31,31,31,34,34,34,34,34,34,37,37,37,37,37,37,40,40,40,40,40,40,43,43,43,43,43,43
11.7,31,31,31,34,34,34,34,34,34,37,37,37,37,37,37,40,40,40,40,40,40,43,43,43,43,43,43,46
12,31,31,34,34,34,34,34,34,37,37,37,37,37,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46
12.3,31,34,34,34,34,34,34,37,37,37,37,37,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46
12.6,34,34,34,34,34,34,37,37,37,37,37,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46
12.9,34,34,34,34,34,37,37,37,37,37,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46
13.2,34,34,34,34,37,37,37,37,37,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46
13.5,34,34,34,37,37,37,37,37,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49
13.8,34,34,37,37,37,37,37,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49
14.1,34,37,37,37,37,37,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49
14.4,37,37,37,37,37,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49
14.7,37,37,37,37,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49
15,37,37,37,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49
15.3,37,37,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49,52
15.6,37,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49,52,52
15.9,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49,52,52,52
16.2,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49,52,52,52,52
16.5,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49,52,52,52,52,52
16.8,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49,52,52,52,52,52,52
17.1,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49,52,52,52,52,52,52,55
17.4,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49,52,52,52,52,52,52,55,55
17.7,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49,52,52,52,52,52,52,55,55,55
18,43,43,43,43,43,43,46,46,46,46,49,49,49,49,49,49,49,49,52,52,52,52,52,52,55,55,55,55
18.3,43,43,43,43,43,46,46,46,46,49,49,49,49,49,49,49,49,52,52,52,52,52,52,55,55,55,55,55
18.6,43,43,43,43,46,46,46,46,49,49,49,49,49,49,49,49,52,52,52,52,52,52,55,55,55,55,55,55
18.9,43,43,43,46,46,46,46,49,49,49,49,49,49,49,49,52,52,52,52,52,52,55,55,55,55,55,55,58
19.2,43,43,46,46,46,46,49,49,49,49,49,49,49,49,52,52,52,52,52,52,55,55,55,55,55,55,58,58
19.5,43,46,46,46,46,49,49,49,49,49,49,49,49,52,52,52,52,52,52,55,55,55,55,55,55,58,58,58
19.8,46,46,46,46,49,49,49,49,49,49,52,52,52,52,52,52,52,52,55,55,55,55,55,55,58,58,58,58
20.1,46,46,46,49,49,49,49,49,49,52,52,52,52,52,52,52,52,55,55,55,55,55,55,58,58,58,58,58
